voltage,current,power
21.12,0.01,0.29
21.12,0.12,2.47
21.09,0.04,0.91
21.22,0.01,0.29
21.17,0.0,0.0
21.19,0.06,1.23
21.14,0.03,0.6
21.12,0.04,0.91
21.19,0.03,0.6
21.14,0.03,0.6
21.12,0.12,2.47
21.07,0.07,1.53
21.07,0.0,0.0
21.09,0.03,0.6
21.14,0.04,0.91
21.22,0.04,0.92
21.14,0.0,0.0
21.14,0.04,0.91
21.14,0.03,0.6
21.17,0.01,0.29
21.12,0.04,0.91
21.24,0.03,0.6
21.14,0.1,2.16
21.14,0.12,2.47
21.14,0.0,0.0
21.14,0.01,0.29
21.17,0.15,3.1
21.14,0.13,2.78
21.17,0.01,0.29
21.02,0.07,1.53
21.14,0.03,0.6
21.14,0.01,0.29
21.12,0.0,0.0
21.26,0.06,1.23
21.12,0.1,2.16
21.14,0.07,1.54
21.12,0.01,0.29
21.19,0.03,0.6
21.04,0.04,0.91
20.97,0.01,0.29
21.07,0.0,0.0
21.24,0.07,1.54
21.14,0.1,2.16
21.22,0.1,2.17
21.12,0.09,1.85
21.12,0.07,1.53
21.12,0.03,0.6
21.09,0.12,2.46
21.26,0.04,0.92
21.12,0.04,0.91
21.12,0.06,1.22
21.12,0.1,2.16
21.12,0.06,1.22
21.12,0.01,0.29
21.14,0.01,0.29
21.17,0.04,0.91
21.12,0.09,1.85
21.12,0.09,1.85
21.14,0.12,2.47
21.07,0.09,1.84
21.24,0.06,1.23
21.09,0.0,0.0
21.26,0.06,1.23
21.24,0.04,0.92
21.17,0.01,0.29
21.24,0.04,0.92
21.07,0.0,0.0
21.09,0.13,2.78
21.09,0.03,0.6
21.09,0.09,1.84
21.12,0.03,0.6
21.17,0.04,0.91
21.14,0.04,0.91
21.22,0.1,2.17
21.14,0.09,1.85
21.14,0.07,1.54
21.07,0.04,0.91
21.09,0.12,2.46
21.09,0.01,0.29
21.09,0.1,2.15
21.07,0.13,2.77
21.12,0.04,0.91
21.14,0.03,0.6
21.09,0.07,1.53
21.12,0.03,0.6
21.04,0.04,0.91
21.07,0.1,2.15
21.07,0.09,1.84
21.17,0.06,1.23
21.09,0.04,0.91
21.09,0.06,1.22
21.26,0.0,0.0
21.12,0.04,0.91
21.22,0.03,0.6
21.09,0.01,0.29
21.24,0.04,0.92
21.12,0.06,1.22
21.12,0.01,0.29
21.12,0.1,2.16
21.22,0.0,0.0
21.12,0.04,0.91
21.09,0.03,0.6
21.17,0.09,1.85
21.22,0.06,1.23
21.04,0.13,2.77
21.07,0.09,1.84
21.22,0.03,0.6
21.17,0.06,1.23
21.12,0.0,0.0
21.14,0.01,0.29
21.26,0.1,2.17
21.14,0.03,0.6
21.12,0.03,0.6
21.07,0.13,2.77
20.73,0.0,0.0
21.09,0.01,0.29
21.12,0.07,1.53
21.14,0.09,1.85
21.17,0.07,1.54
21.24,0.1,2.17
21.09,0.06,1.22
21.09,0.01,0.29
21.07,0.09,1.84
21.09,0.1,2.15
21.19,0.0,0.0
21.07,0.06,1.22
21.09,0.09,1.84
21.07,0.01,0.29
21.12,0.09,1.85
21.19,0.0,0.0
21.0,0.06,1.22
20.9,0.06,1.21
21.07,0.16,3.39
21.09,0.06,1.22
21.22,0.07,1.54
21.24,0.18,3.73
21.14,0.03,0.6
21.12,0.1,2.16
21.09,0.07,1.53
21.19,0.15,3.1
21.19,0.12,2.48
21.14,0.06,1.22
21.09,0.12,2.46
21.09,0.09,1.84
21.09,0.03,0.6
21.09,0.13,2.78
21.09,0.09,1.84
21.09,0.07,1.53
21.17,0.07,1.54
21.29,0.15,3.12
21.24,0.04,0.92
21.07,0.07,1.53
21.09,0.09,1.84
21.12,0.07,1.53
21.19,0.09,1.85
21.14,0.06,1.22
21.12,0.12,2.47
21.17,0.07,1.54
21.12,0.15,3.09
21.07,0.06,1.22
21.07,0.1,2.15
21.07,0.1,2.15
21.24,0.1,2.17
21.14,0.15,3.09
21.22,0.1,2.17
21.12,0.07,1.53
21.12,0.06,1.22
21.12,0.07,1.53
20.97,0.12,2.45
21.09,0.09,1.84
21.31,0.06,1.23
21.09,0.07,1.53
21.31,0.16,3.43
21.17,0.09,1.85
21.17,0.06,1.23
21.14,0.0,0.0
21.09,0.07,1.53
21.12,0.01,0.29
21.09,0.12,2.46
21.12,0.07,1.53
21.24,0.07,1.54
21.12,0.12,2.47
21.14,0.12,2.47
21.14,0.06,1.22
21.09,0.12,2.46
21.09,0.09,1.84
21.09,0.16,3.4
21.12,0.07,1.53
21.29,0.09,1.86
21.07,0.09,1.84
21.19,0.03,0.6
21.29,0.12,2.49
21.31,0.03,0.61
21.07,0.07,1.53
21.14,0.09,1.85
21.12,0.0,0.0
21.14,0.03,0.6
21.22,0.06,1.23
21.12,0.12,2.47
21.29,0.0,0.0
21.09,0.04,0.91
21.07,0.01,0.29
21.09,0.1,2.15
21.07,0.07,1.53
21.09,0.19,4.02
21.12,0.13,2.78
21.07,0.12,2.46
21.12,0.16,3.4
21.09,0.07,1.53
21.09,0.03,0.6
21.09,0.1,2.15
21.07,0.09,1.84
21.19,0.07,1.54
21.09,0.12,2.46
21.12,0.13,2.78
21.12,0.09,1.85
21.09,0.19,4.02
21.07,0.04,0.91
21.09,0.03,0.6
21.07,0.1,2.15
21.07,0.0,0.0
21.14,0.07,1.54
21.14,0.1,2.16
21.14,0.13,2.78
21.31,0.1,2.18
21.14,0.07,1.54
21.07,0.07,1.53
21.14,0.06,1.22
21.07,0.09,1.84
21.09,0.1,2.15
21.17,0.1,2.16
21.19,0.13,2.79
21.09,0.04,0.91
21.09,0.04,0.91
21.07,0.1,2.15
21.07,0.09,1.84
21.07,0.07,1.53
21.07,0.09,1.84
21.09,0.12,2.46
21.09,0.06,1.22
21.14,0.04,0.91
21.09,0.07,1.53
21.14,0.1,2.16
21.09,0.06,1.22
21.12,0.18,3.71
21.07,0.16,3.39
21.14,0.01,0.29
21.14,0.06,1.22
21.09,0.16,3.4
21.09,0.12,2.46
21.09,0.04,0.91
21.12,0.07,1.53
21.07,0.07,1.53
21.07,0.09,1.84
21.09,0.12,2.46
21.22,0.16,3.42
21.14,0.01,0.29
21.14,0.04,0.91
21.14,0.03,0.6
21.19,0.12,2.48
21.14,0.09,1.85
21.14,0.12,2.47
21.12,0.07,1.53
21.19,0.1,2.16
21.04,0.1,2.15
21.12,0.09,1.85
21.26,0.09,1.86
21.04,0.15,3.08
21.09,0.06,1.22
21.26,0.07,1.54
21.22,0.04,0.92
21.09,0.07,1.53
21.31,0.07,1.55
21.17,0.12,2.47
21.17,0.13,2.79
21.09,0.09,1.84
21.09,0.06,1.22
21.19,0.07,1.54
21.09,0.07,1.53
21.07,0.12,2.46
21.09,0.09,1.84
21.12,0.12,2.47
21.09,0.07,1.53
21.12,0.06,1.22
21.07,0.06,1.22
21.14,0.07,1.54
21.07,0.09,1.84
21.09,0.0,0.0
21.0,0.06,1.22
21.09,0.07,1.53
21.09,0.18,3.71
21.17,0.04,0.91
21.24,0.09,1.86
21.07,0.1,2.15
21.07,0.12,2.46
21.12,0.12,2.47
21.19,0.1,2.16
21.19,0.12,2.48
21.17,0.03,0.6
21.07,0.09,1.84
21.12,0.15,3.09
21.19,0.12,2.48
21.12,0.04,0.91
21.12,0.1,2.16
21.31,0.01,0.29
21.09,0.12,2.46
21.14,0.07,1.54
21.22,0.03,0.6
21.22,0.1,2.17
21.09,0.13,2.78
21.07,0.19,4.01
21.07,0.09,1.84
21.14,0.1,2.16
21.19,0.07,1.54
21.12,0.12,2.47
21.09,0.15,3.09
21.14,0.06,1.22
20.97,0.21,4.3
21.07,0.0,0.0
21.09,0.1,2.15
21.26,0.03,0.6
20.92,0.15,3.06
21.12,0.01,0.29
21.14,0.13,2.78
21.17,0.09,1.85
21.09,0.06,1.22
21.07,0.09,1.84
21.07,0.09,1.84
21.22,0.1,2.17
21.29,0.01,0.29
21.22,0.1,2.17
21.19,0.1,2.16
21.17,0.09,1.85
20.9,0.12,2.44
21.22,0.0,0.0
21.26,0.1,2.17
21.26,0.12,2.48
21.07,0.09,1.84
21.19,0.06,1.23
21.14,0.07,1.54
21.17,0.01,0.29
21.04,0.04,0.91
21.02,0.12,2.46
21.12,0.06,1.22
21.14,0.09,1.85
21.09,0.09,1.84
21.07,0.09,1.84
