voltage,current,power
2.64,0.1,0.27
2.98,0.03,0.08
3.1,0.04,0.13
3.05,0.0,0.0
2.95,0.07,0.21
2.98,0.04,0.13
3.0,0.01,0.04
3.0,0.03,0.09
2.95,0.0,0.0
3.0,0.04,0.13
2.98,0.07,0.22
2.98,0.1,0.3
2.98,0.07,0.22
2.98,0.06,0.17
2.98,0.0,0.0
3.0,0.01,0.04
2.93,0.04,0.13
2.98,0.04,0.13
3.0,0.04,0.13
2.95,0.12,0.35
3.17,0.01,0.04
3.0,0.07,0.22
2.98,0.04,0.13
2.95,0.03,0.08
3.1,0.0,0.0
2.93,0.03,0.08
2.98,0.03,0.08
2.98,0.06,0.17
2.98,0.04,0.13
3.0,0.01,0.04
3.0,0.07,0.22
3.08,0.06,0.18
3.03,0.09,0.26
2.98,0.0,0.0
2.93,0.03,0.08
2.91,0.03,0.08
2.98,0.01,0.04
3.13,0.03,0.09
2.91,0.01,0.04
2.93,0.03,0.08
2.93,0.01,0.04
2.98,0.03,0.08
2.88,0.07,0.21
2.95,0.06,0.17
3.0,0.0,0.0
2.95,0.01,0.04
2.88,0.01,0.04
3.03,0.04,0.13
2.91,0.0,0.0
3.05,0.07,0.22
3.03,0.0,0.0
3.0,0.03,0.09
3.03,0.03,0.09
2.98,0.09,0.26
2.98,0.01,0.04
3.03,0.07,0.22
3.0,0.0,0.0
2.98,0.04,0.13
2.98,0.09,0.26
2.93,0.0,0.0
3.0,0.0,0.0
2.91,0.07,0.21
2.95,0.09,0.26
2.93,0.03,0.08
3.0,0.03,0.09
3.15,0.0,0.0
3.08,0.06,0.18
3.0,0.0,0.0
3.05,0.06,0.18
3.03,0.01,0.04
3.1,0.0,0.0
3.2,0.01,0.04
3.03,0.04,0.13
3.1,0.0,0.0
3.05,0.01,0.04
3.03,0.03,0.09
2.98,0.04,0.13
2.98,0.03,0.08
2.98,0.04,0.13
3.05,0.07,0.22
3.05,0.06,0.18
2.98,0.09,0.26
3.1,0.03,0.09
3.15,0.06,0.18
3.0,0.01,0.04
2.98,0.06,0.17
2.95,0.03,0.08
3.1,0.01,0.04
2.93,0.12,0.34
2.95,0.04,0.13
2.98,0.06,0.17
3.05,0.03,0.09
3.13,0.01,0.04
2.98,0.0,0.0
3.1,0.04,0.13
3.1,0.06,0.18
2.93,0.1,0.3
3.05,0.09,0.27
3.0,0.04,0.13
2.95,0.03,0.08
3.13,0.1,0.32
3.03,0.0,0.0
3.0,0.0,0.0
3.03,0.01,0.04
3.03,0.0,0.0
2.93,0.0,0.0
3.08,0.04,0.13
3.0,0.01,0.04
2.98,0.0,0.0
2.98,0.07,0.22
2.98,0.09,0.26
2.98,0.0,0.0
2.98,0.0,0.0
3.0,0.12,0.35
3.13,0.01,0.04
2.98,0.01,0.04
2.98,0.0,0.0
2.88,0.03,0.08
3.05,0.03,0.09
3.1,0.0,0.0
3.1,0.04,0.13
2.91,0.12,0.34
2.88,0.03,0.08
3.05,0.01,0.04
2.91,0.03,0.08
2.98,0.06,0.17
3.05,0.1,0.31
3.03,0.04,0.13
3.0,0.09,0.26
2.95,0.0,0.0
3.08,0.01,0.04
2.98,0.04,0.13
3.15,0.04,0.14
2.95,0.03,0.08
3.0,0.09,0.26
3.08,0.04,0.13
2.91,0.0,0.0
3.1,0.09,0.27
2.98,0.01,0.04
3.08,0.06,0.18
2.93,0.04,0.13
3.1,0.0,0.0
2.93,0.09,0.26
3.1,0.01,0.04
2.91,0.03,0.08
2.95,0.01,0.04
2.93,0.09,0.26
2.98,0.06,0.17
2.95,0.04,0.13
3.0,0.06,0.17
2.98,0.06,0.17
3.05,0.06,0.18
3.0,0.03,0.09
2.98,0.06,0.17
2.98,0.0,0.0
2.98,0.03,0.08
3.13,0.03,0.09
2.98,0.04,0.13
3.1,0.03,0.09
2.91,0.04,0.13
2.98,0.09,0.26
3.0,0.01,0.04
3.05,0.0,0.0
3.03,0.07,0.22
2.98,0.01,0.04
2.98,0.09,0.26
2.93,0.0,0.0
2.91,0.06,0.17
3.1,0.0,0.0
2.98,0.0,0.0
3.08,0.0,0.0
2.98,0.04,0.13
2.95,0.04,0.13
3.0,0.09,0.26
2.98,0.01,0.04
3.03,0.04,0.13
3.05,0.0,0.0
2.98,0.06,0.17
3.13,0.03,0.09
3.22,0.04,0.14
2.93,0.0,0.0
2.95,0.0,0.0
2.98,0.0,0.0
2.98,0.1,0.3
3.0,0.07,0.22
2.93,0.04,0.13
3.0,0.1,0.31
3.0,0.01,0.04
2.93,0.04,0.13
2.98,0.03,0.08
3.0,0.07,0.22
3.0,0.03,0.09
3.03,0.01,0.04
3.03,0.07,0.22
2.93,0.01,0.04
2.98,0.0,0.0
3.05,0.0,0.0
2.98,0.03,0.08
3.03,0.01,0.04
2.98,0.0,0.0
3.03,0.0,0.0
3.0,0.06,0.17
3.0,0.03,0.09
2.98,0.0,0.0
2.98,0.04,0.13
2.91,0.04,0.13
2.78,0.0,0.0
3.0,0.01,0.04
2.98,0.03,0.08
3.03,0.04,0.13
3.1,0.07,0.23
3.13,0.01,0.04
2.98,0.09,0.26
3.0,0.1,0.31
3.1,0.0,0.0
2.91,0.07,0.21
2.98,0.06,0.17
3.08,0.04,0.13
3.08,0.06,0.18
2.93,0.0,0.0
2.95,0.0,0.0
2.98,0.01,0.04
2.98,0.04,0.13
2.95,0.01,0.04
2.95,0.03,0.08
3.03,0.04,0.13
3.03,0.04,0.13
2.98,0.03,0.08
2.98,0.04,0.13
2.98,0.04,0.13
2.98,0.04,0.13
3.0,0.03,0.09
3.0,0.0,0.0
3.05,0.09,0.27
3.03,0.04,0.13
2.95,0.07,0.21
2.98,0.06,0.17
2.93,0.01,0.04
2.93,0.03,0.08
3.0,0.07,0.22
3.0,0.0,0.0
2.93,0.0,0.0
2.93,0.01,0.04
2.98,0.06,0.17
2.83,0.01,0.04
2.98,0.03,0.08
3.08,0.03,0.09
3.0,0.0,0.0
3.0,0.1,0.31
3.1,0.03,0.09
3.0,0.06,0.17
2.95,0.07,0.21
3.05,0.0,0.0
2.98,0.09,0.26
2.98,0.07,0.22
2.98,0.18,0.52
2.98,0.09,0.26
3.05,0.03,0.09
3.0,0.03,0.09
3.08,0.01,0.04
2.95,0.06,0.17
2.95,0.04,0.13
3.22,0.03,0.09
2.98,0.03,0.08
2.98,0.1,0.3
3.08,0.04,0.13
3.05,0.01,0.04
3.0,0.07,0.22
2.93,0.07,0.21
2.98,0.15,0.44
3.03,0.0,0.0
3.05,0.0,0.0
2.98,0.0,0.0
3.03,0.04,0.13
2.98,0.0,0.0
3.0,0.0,0.0
2.98,0.09,0.26
2.98,0.03,0.08
3.13,0.06,0.18
2.91,0.0,0.0
2.93,0.06,0.17
2.95,0.01,0.04
2.98,0.03,0.08
3.13,0.03,0.09
3.05,0.0,0.0
3.05,0.04,0.13
2.98,0.07,0.22
3.0,0.07,0.22
3.13,0.07,0.23
3.03,0.0,0.0
2.98,0.07,0.22
2.95,0.01,0.04
2.98,0.12,0.35
2.98,0.06,0.17
3.0,0.06,0.17
2.98,0.0,0.0
2.93,0.04,0.13
2.98,0.04,0.13
3.03,0.03,0.09
3.0,0.0,0.0
2.98,0.06,0.17
2.98,0.06,0.17
2.91,0.03,0.08
2.93,0.01,0.04
3.0,0.01,0.04
2.93,0.0,0.0
2.98,0.0,0.0
3.0,0.01,0.04
3.15,0.04,0.14
2.93,0.0,0.0
2.95,0.01,0.04
2.98,0.09,0.26
2.98,0.06,0.17
2.98,0.07,0.22
3.03,0.03,0.09
2.95,0.06,0.17
3.0,0.03,0.09
2.98,0.0,0.0
2.98,0.06,0.17
3.05,0.06,0.18
3.03,0.01,0.04
2.95,0.06,0.17
2.91,0.06,0.17
2.98,0.04,0.13
2.98,0.01,0.04
3.0,0.09,0.26
2.98,0.07,0.22
2.98,0.0,0.0
3.0,0.0,0.0
3.03,0.0,0.0
2.98,0.04,0.13
2.73,0.01,0.04
2.98,0.01,0.04
3.0,0.03,0.09
2.95,0.0,0.0
3.15,0.0,0.0
2.98,0.0,0.0
3.0,0.03,0.09
2.98,0.12,0.35
2.93,0.0,0.0
2.98,0.09,0.26
2.98,0.03,0.08
2.98,0.06,0.17
3.1,0.0,0.0
3.0,0.1,0.31
3.05,0.01,0.04
3.0,0.09,0.26
3.03,0.0,0.0
3.0,0.03,0.09
2.98,0.03,0.08
3.03,0.0,0.0
2.98,0.01,0.04
2.93,0.0,0.0
3.08,0.09,0.27
2.95,0.0,0.0
3.05,0.0,0.0
2.98,0.09,0.26
2.98,0.07,0.22
2.95,0.0,0.0
3.05,0.0,0.0
2.98,0.0,0.0
2.98,0.12,0.35
2.95,0.09,0.26
3.08,0.03,0.09
2.95,0.03,0.08
3.03,0.04,0.13
3.08,0.0,0.0
2.95,0.06,0.17
3.0,0.04,0.13
2.88,0.04,0.12
3.1,0.06,0.18
2.98,0.0,0.0
3.05,0.01,0.04
