voltage,current,power
11.99,0.06,0.69
12.16,0.06,0.7
12.04,0.04,0.52
11.99,0.0,0.0
12.01,0.13,1.58
12.01,0.03,0.34
12.08,0.01,0.17
12.01,0.09,1.05
11.87,0.09,1.04
12.06,0.03,0.34
12.08,0.04,0.52
12.08,0.18,2.12
12.04,0.04,0.52
12.01,0.13,1.58
12.01,0.12,1.4
11.99,0.03,0.34
11.99,0.0,0.0
11.99,0.15,1.75
11.99,0.09,1.05
12.11,0.1,1.24
11.99,0.09,1.05
12.11,0.12,1.41
12.01,0.03,0.34
12.11,0.13,1.59
12.01,0.1,1.23
11.94,0.1,1.22
12.04,0.06,0.7
11.99,0.15,1.75
11.99,0.04,0.52
12.11,0.03,0.34
11.99,0.13,1.58
12.01,0.1,1.23
12.01,0.09,1.05
11.99,0.15,1.75
11.99,0.09,1.05
11.87,0.01,0.16
11.99,0.16,1.93
12.04,0.04,0.52
11.94,0.01,0.16
12.18,0.09,1.06
12.13,0.19,2.31
12.06,0.09,1.05
12.08,0.09,1.06
12.06,0.0,0.0
12.04,0.09,1.05
11.99,0.07,0.87
11.96,0.04,0.52
12.04,0.13,1.58
11.99,0.06,0.69
12.04,0.01,0.16
11.96,0.04,0.52
12.06,0.13,1.59
12.11,0.09,1.06
12.01,0.07,0.87
12.04,0.12,1.41
12.04,0.12,1.41
12.01,0.06,0.7
12.01,0.07,0.87
12.04,0.07,0.87
12.01,0.01,0.16
11.99,0.04,0.52
11.96,0.09,1.05
12.01,0.04,0.52
12.04,0.12,1.41
12.01,0.07,0.87
12.01,0.13,1.58
12.04,0.01,0.16
12.06,0.15,1.76
12.11,0.07,0.88
11.99,0.12,1.4
12.08,0.13,1.59
11.99,0.09,1.05
11.99,0.07,0.87
11.99,0.12,1.4
12.08,0.07,0.88
12.08,0.09,1.06
11.96,0.07,0.87
11.96,0.12,1.4
12.13,0.06,0.7
12.18,0.1,1.24
12.08,0.09,1.06
12.16,0.06,0.7
11.99,0.07,0.87
12.01,0.06,0.7
11.91,0.06,0.69
11.99,0.09,1.05
11.99,0.12,1.4
12.08,0.09,1.06
11.99,0.03,0.34
11.96,0.06,0.69
11.99,0.03,0.34
11.99,0.07,0.87
11.99,0.07,0.87
11.96,0.07,0.87
11.96,0.07,0.87
11.99,0.07,0.87
12.04,0.1,1.23
11.99,0.09,1.05
11.99,0.19,2.28
11.99,0.12,1.4
11.99,0.12,1.4
11.99,0.16,1.93
11.99,0.09,1.05
12.18,0.07,0.88
11.96,0.1,1.22
12.04,0.06,0.7
12.11,0.07,0.88
11.99,0.13,1.58
11.96,0.1,1.22
11.96,0.1,1.22
11.99,0.04,0.52
11.99,0.12,1.4
11.99,0.15,1.75
11.87,0.09,1.04
11.99,0.03,0.34
11.99,0.12,1.4
11.96,0.04,0.52
11.96,0.04,0.52
11.96,0.1,1.22
11.99,0.06,0.69
12.11,0.03,0.34
11.99,0.09,1.05
11.99,0.12,1.4
12.01,0.04,0.52
12.01,0.06,0.7
12.01,0.04,0.52
12.06,0.04,0.52
12.01,0.09,1.05
12.01,0.1,1.23
11.99,0.09,1.05
11.99,0.04,0.52
11.99,0.07,0.87
12.01,0.06,0.7
11.96,0.13,1.57
11.99,0.09,1.05
12.06,0.09,1.05
12.13,0.16,1.95
12.04,0.07,0.87
12.04,0.09,1.05
11.99,0.16,1.93
11.99,0.09,1.05
12.08,0.16,1.95
11.99,0.04,0.52
11.99,0.09,1.05
12.06,0.09,1.05
12.01,0.03,0.34
11.99,0.04,0.52
11.99,0.13,1.58
11.94,0.09,1.04
11.96,0.12,1.4
11.96,0.07,0.87
12.01,0.15,1.76
11.99,0.18,2.11
11.89,0.13,1.56
12.01,0.09,1.05
11.99,0.1,1.22
11.96,0.07,0.87
11.94,0.06,0.69
11.96,0.09,1.05
11.99,0.09,1.05
11.99,0.06,0.69
11.94,0.13,1.57
11.99,0.1,1.22
12.08,0.1,1.23
12.01,0.1,1.23
12.06,0.12,1.41
12.11,0.13,1.59
12.08,0.04,0.52
11.99,0.13,1.58
12.13,0.03,0.34
12.01,0.13,1.58
11.99,0.01,0.16
12.01,0.15,1.76
11.99,0.1,1.22
11.96,0.06,0.69
12.04,0.06,0.7
11.99,0.09,1.05
11.99,0.01,0.16
11.96,0.1,1.22
12.08,0.09,1.06
11.99,0.06,0.69
11.99,0.09,1.05
12.01,0.13,1.58
11.96,0.04,0.52
11.99,0.06,0.69
11.99,0.03,0.34
12.01,0.18,2.11
11.99,0.13,1.58
11.99,0.04,0.52
12.01,0.09,1.05
11.99,0.16,1.93
11.96,0.15,1.75
11.96,0.12,1.4
12.08,0.09,1.06
12.01,0.07,0.87
12.13,0.06,0.7
12.08,0.07,0.88
11.99,0.12,1.4
11.94,0.04,0.52
12.11,0.16,1.95
11.99,0.1,1.22
11.99,0.04,0.52
12.01,0.09,1.05
12.04,0.01,0.16
11.99,0.1,1.22
12.01,0.1,1.23
12.04,0.04,0.52
12.16,0.13,1.6
11.96,0.1,1.22
11.96,0.09,1.05
11.99,0.0,0.0
12.04,0.12,1.41
11.99,0.13,1.58
12.08,0.16,1.95
12.11,0.09,1.06
11.99,0.13,1.58
12.01,0.15,1.76
12.01,0.12,1.4
11.99,0.07,0.87
12.01,0.04,0.52
11.87,0.12,1.39
12.08,0.1,1.23
11.99,0.1,1.22
12.06,0.03,0.34
12.01,0.15,1.76
12.01,0.03,0.34
12.08,0.1,1.23
11.96,0.1,1.22
12.04,0.04,0.52
12.01,0.07,0.87
12.08,0.01,0.17
11.99,0.04,0.52
11.99,0.03,0.34
11.99,0.09,1.05
12.01,0.07,0.87
11.99,0.1,1.22
11.94,0.1,1.22
12.01,0.07,0.87
11.99,0.07,0.87
12.13,0.1,1.24
12.04,0.04,0.52
11.99,0.09,1.05
12.01,0.06,0.7
12.13,0.1,1.24
11.99,0.1,1.22
11.99,0.07,0.87
12.04,0.12,1.41
11.99,0.1,1.22
12.11,0.07,0.88
11.99,0.09,1.05
11.99,0.07,0.87
11.96,0.09,1.05
12.04,0.1,1.23
11.99,0.1,1.22
11.99,0.15,1.75
12.08,0.12,1.41
12.04,0.13,1.58
11.99,0.12,1.4
11.99,0.09,1.05
12.01,0.12,1.4
12.01,0.16,1.93
12.16,0.1,1.24
11.99,0.13,1.58
11.99,0.12,1.4
11.91,0.09,1.04
12.04,0.04,0.52
11.99,0.18,2.11
12.04,0.12,1.41
12.08,0.07,0.88
11.89,0.12,1.39
11.99,0.09,1.05
11.99,0.07,0.87
11.99,0.12,1.4
12.04,0.13,1.58
11.99,0.12,1.4
11.99,0.13,1.58
12.11,0.09,1.06
11.99,0.07,0.87
12.06,0.04,0.52
11.94,0.06,0.69
12.01,0.13,1.58
11.89,0.15,1.74
11.99,0.1,1.22
11.96,0.15,1.75
11.96,0.12,1.4
11.99,0.1,1.22
11.99,0.04,0.52
12.04,0.12,1.41
12.04,0.18,2.12
11.99,0.1,1.22
11.99,0.12,1.4
12.01,0.1,1.23
11.99,0.1,1.22
12.06,0.16,1.94
11.96,0.1,1.22
11.96,0.1,1.22
12.08,0.16,1.95
12.01,0.06,0.7
12.13,0.15,1.78
12.01,0.1,1.23
11.99,0.07,0.87
12.06,0.19,2.3
11.94,0.09,1.04
11.99,0.07,0.87
11.99,0.09,1.05
11.94,0.09,1.04
12.16,0.12,1.42
12.13,0.09,1.06
12.04,0.1,1.23
12.01,0.09,1.05
11.99,0.09,1.05
12.08,0.15,1.77
11.96,0.12,1.4
12.01,0.12,1.4
11.96,0.06,0.69
11.99,0.06,0.69
12.18,0.1,1.24
12.01,0.15,1.76
12.04,0.13,1.58
12.08,0.15,1.77
11.99,0.09,1.05
12.01,0.09,1.05
11.99,0.18,2.11
11.99,0.09,1.05
11.89,0.07,0.86
12.08,0.1,1.23
11.99,0.1,1.22
12.01,0.07,0.87
12.08,0.13,1.59
12.11,0.13,1.59
11.89,0.06,0.69
12.11,0.09,1.06
11.99,0.18,2.11
12.04,0.06,0.7
12.11,0.15,1.77
12.01,0.07,0.87
12.13,0.1,1.24
12.16,0.1,1.24
11.99,0.15,1.75
11.99,0.18,2.11
12.08,0.06,0.7
12.01,0.09,1.05
12.06,0.15,1.76
11.96,0.06,0.69
11.99,0.09,1.05
11.94,0.1,1.22
11.99,0.13,1.58
12.01,0.19,2.29
11.96,0.06,0.69
11.99,0.1,1.22
11.96,0.15,1.75
11.99,0.12,1.4
11.99,0.01,0.16
12.01,0.07,0.87
11.99,0.09,1.05
11.99,0.12,1.4
11.99,0.16,1.93
11.99,0.12,1.4
12.04,0.12,1.41
11.96,0.09,1.05
11.84,0.1,1.21
11.99,0.1,1.22
11.99,0.1,1.22
11.99,0.07,0.87
12.01,0.12,1.4
11.99,0.13,1.58
12.06,0.06,0.7
11.96,0.13,1.57
11.96,0.1,1.22
11.96,0.15,1.75
11.96,0.06,0.69
11.94,0.06,0.69
11.99,0.13,1.58
12.04,0.15,1.76
11.99,0.09,1.05
12.11,0.13,1.59
11.99,0.04,0.52
11.99,0.09,1.05
11.99,0.09,1.05
11.96,0.15,1.75
11.84,0.07,0.86
12.04,0.15,1.76
12.04,0.16,1.94
12.04,0.1,1.23
11.99,0.18,2.11
11.96,0.1,1.22
11.96,0.1,1.22
12.01,0.13,1.58
12.13,0.09,1.06
11.99,0.09,1.05
11.94,0.07,0.87
12.06,0.15,1.76
12.06,0.12,1.41
12.08,0.12,1.41
11.99,0.15,1.75
12.04,0.15,1.76
12.01,0.09,1.05
12.01,0.15,1.76
11.99,0.13,1.58
11.99,0.09,1.05
11.94,0.13,1.57
12.06,0.13,1.59
11.96,0.13,1.57
11.99,0.16,1.93
11.99,0.13,1.58
12.01,0.12,1.4
11.99,0.04,0.52
12.01,0.15,1.76
11.96,0.15,1.75
11.99,0.03,0.34
11.99,0.19,2.28
12.16,0.06,0.7
11.96,0.12,1.4
11.99,0.12,1.4
11.99,0.03,0.34
12.16,0.13,1.6
11.99,0.12,1.4
12.11,0.1,1.24
12.01,0.1,1.23
12.01,0.12,1.4
11.99,0.1,1.22
11.99,0.13,1.58
12.01,0.12,1.4
11.96,0.13,1.57
11.99,0.12,1.4
11.99,0.16,1.93
11.96,0.15,1.75
11.96,0.15,1.75
12.06,0.1,1.23
12.11,0.09,1.06
11.99,0.04,0.52
12.04,0.12,1.41
12.01,0.07,0.87
11.99,0.21,2.46
11.96,0.09,1.05
12.01,0.1,1.23
11.99,0.1,1.22
11.96,0.12,1.4
12.13,0.09,1.06
11.99,0.16,1.93
12.01,0.19,2.29
12.04,0.13,1.58
12.01,0.09,1.05
11.99,0.07,0.87
11.99,0.09,1.05
12.01,0.09,1.05
11.99,0.09,1.05
12.08,0.12,1.41
12.08,0.12,1.41
12.06,0.09,1.05
11.99,0.18,2.11
11.99,0.15,1.75
12.01,0.21,2.47
12.01,0.19,2.29
12.01,0.03,0.34
11.99,0.13,1.58
12.23,0.12,1.43
12.04,0.07,0.87
12.01,0.06,0.7
12.06,0.1,1.23
12.06,0.18,2.12
11.99,0.09,1.05
12.06,0.13,1.59
12.08,0.16,1.95
11.99,0.1,1.22
11.99,0.09,1.05
12.08,0.12,1.41
12.04,0.12,1.41
11.99,0.09,1.05
12.08,0.12,1.41
11.99,0.13,1.58
12.01,0.16,1.93
12.04,0.19,2.29
12.06,0.15,1.76
