voltage,current,power
8.96,0.0,0.0
9.06,0.0,0.0
8.98,0.0,0.0
9.08,0.0,0.0
9.13,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
9.08,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.96,0.03,0.25
9.01,0.0,0.0
8.98,0.0,0.0
8.94,0.0,0.0
9.03,0.0,0.0
9.11,0.01,0.12
8.98,0.0,0.0
8.91,0.0,0.0
9.03,0.03,0.26
8.98,0.0,0.0
8.98,0.03,0.26
9.03,0.0,0.0
8.98,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.86,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.98,0.01,0.12
8.96,0.0,0.0
8.98,0.0,0.0
9.03,0.07,0.66
9.03,0.01,0.12
8.96,0.07,0.65
8.96,0.0,0.0
9.08,0.0,0.0
8.98,0.0,0.0
8.98,0.0,0.0
9.01,0.06,0.52
8.96,0.0,0.0
9.06,0.0,0.0
9.01,0.0,0.0
8.96,0.03,0.25
8.96,0.0,0.0
8.96,0.03,0.25
8.96,0.0,0.0
9.03,0.03,0.26
9.01,0.0,0.0
9.11,0.0,0.0
9.08,0.0,0.0
8.98,0.0,0.0
9.01,0.0,0.0
9.06,0.0,0.0
9.16,0.0,0.0
8.96,0.0,0.0
8.96,0.01,0.12
9.06,0.0,0.0
9.01,0.0,0.0
9.16,0.0,0.0
8.98,0.04,0.39
8.96,0.0,0.0
8.96,0.04,0.39
8.96,0.0,0.0
8.91,0.01,0.12
9.01,0.0,0.0
9.01,0.0,0.0
8.72,0.03,0.25
8.94,0.0,0.0
8.98,0.0,0.0
8.98,0.0,0.0
8.96,0.03,0.25
8.96,0.0,0.0
8.94,0.0,0.0
9.03,0.0,0.0
9.08,0.0,0.0
9.06,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.94,0.03,0.25
9.03,0.0,0.0
8.81,0.0,0.0
8.96,0.0,0.0
9.03,0.0,0.0
8.81,0.0,0.0
9.03,0.0,0.0
8.96,0.0,0.0
8.98,0.0,0.0
8.98,0.01,0.12
8.84,0.0,0.0
8.89,0.0,0.0
8.94,0.01,0.12
8.98,0.01,0.12
9.11,0.0,0.0
8.94,0.0,0.0
9.11,0.0,0.0
8.91,0.0,0.0
8.96,0.04,0.39
8.96,0.0,0.0
8.94,0.0,0.0
9.08,0.0,0.0
9.11,0.0,0.0
9.01,0.01,0.12
9.08,0.0,0.0
8.96,0.0,0.0
9.01,0.0,0.0
8.98,0.07,0.65
8.96,0.0,0.0
9.01,0.0,0.0
8.98,0.0,0.0
9.01,0.0,0.0
8.98,0.0,0.0
9.06,0.0,0.0
8.96,0.0,0.0
8.91,0.01,0.12
8.96,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.98,0.0,0.0
9.06,0.0,0.0
8.98,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
8.98,0.0,0.0
9.01,0.0,0.0
8.96,0.0,0.0
8.96,0.04,0.39
8.96,0.0,0.0
8.96,0.0,0.0
8.84,0.0,0.0
8.98,0.0,0.0
8.98,0.03,0.26
8.96,0.0,0.0
9.06,0.0,0.0
8.94,0.0,0.0
8.98,0.06,0.52
9.03,0.0,0.0
8.98,0.0,0.0
8.98,0.0,0.0
8.96,0.03,0.25
9.06,0.01,0.12
8.96,0.0,0.0
9.01,0.03,0.26
8.98,0.01,0.12
9.13,0.0,0.0
9.01,0.0,0.0
9.03,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
9.01,0.0,0.0
8.96,0.0,0.0
9.03,0.04,0.39
8.96,0.0,0.0
8.91,0.0,0.0
8.98,0.0,0.0
8.96,0.0,0.0
8.94,0.0,0.0
9.01,0.0,0.0
8.96,0.0,0.0
8.98,0.0,0.0
9.06,0.01,0.12
8.96,0.0,0.0
8.98,0.0,0.0
8.81,0.04,0.38
8.96,0.01,0.12
9.11,0.0,0.0
8.96,0.0,0.0
8.96,0.0,0.0
9.01,0.0,0.0
8.98,0.0,0.0
8.91,0.01,0.12
8.98,0.0,0.0
9.06,0.0,0.0
8.96,0.0,0.0
