voltage,current,power
15.04,0.0,0.0
15.04,0.04,0.65
15.01,0.0,0.0
15.01,0.06,0.87
15.16,0.01,0.21
15.01,0.06,0.87
15.01,0.0,0.0
15.04,0.0,0.0
15.01,0.03,0.43
15.01,0.0,0.0
15.04,0.0,0.0
15.04,0.0,0.0
15.01,0.04,0.65
15.01,0.03,0.43
15.04,0.01,0.21
15.04,0.03,0.43
15.04,0.04,0.65
15.04,0.0,0.0
15.04,0.0,0.0
15.11,0.0,0.0
15.01,0.06,0.87
15.01,0.03,0.43
15.11,0.01,0.21
15.04,0.0,0.0
15.06,0.06,0.87
15.06,0.01,0.21
14.99,0.0,0.0
15.06,0.04,0.65
15.21,0.06,0.88
14.99,0.07,1.09
15.11,0.0,0.0
15.11,0.0,0.0
15.04,0.0,0.0
15.01,0.0,0.0
15.04,0.0,0.0
15.01,0.0,0.0
15.04,0.0,0.0
15.23,0.0,0.0
15.06,0.0,0.0
15.04,0.0,0.0
14.97,0.01,0.2
15.01,0.06,0.87
15.09,0.0,0.0
15.11,0.03,0.43
15.11,0.0,0.0
14.99,0.0,0.0
15.04,0.0,0.0
15.01,0.04,0.65
15.01,0.07,1.09
15.01,0.0,0.0
15.01,0.0,0.0
15.01,0.04,0.65
15.04,0.04,0.65
15.04,0.0,0.0
15.19,0.01,0.21
15.01,0.03,0.43
15.04,0.0,0.0
15.21,0.04,0.66
15.01,0.0,0.0
15.01,0.0,0.0
15.04,0.0,0.0
15.04,0.0,0.0
14.99,0.0,0.0
14.99,0.03,0.43
14.99,0.0,0.0
15.04,0.0,0.0
15.04,0.0,0.0
15.04,0.0,0.0
15.06,0.0,0.0
15.06,0.07,1.09
15.04,0.04,0.65
15.11,0.0,0.0
15.06,0.01,0.21
15.01,0.0,0.0
15.04,0.0,0.0
15.04,0.0,0.0
15.04,0.01,0.21
15.09,0.0,0.0
15.11,0.0,0.0
15.06,0.0,0.0
14.79,0.0,0.0
15.04,0.0,0.0
14.99,0.04,0.65
15.11,0.0,0.0
15.11,0.01,0.21
15.14,0.0,0.0
15.04,0.0,0.0
15.14,0.0,0.0
15.04,0.0,0.0
15.06,0.0,0.0
15.06,0.0,0.0
14.99,0.06,0.87
15.01,0.0,0.0
15.01,0.0,0.0
15.06,0.01,0.21
15.06,0.01,0.21
14.99,0.0,0.0
15.04,0.0,0.0
14.87,0.03,0.42
15.11,0.0,0.0
15.01,0.0,0.0
15.11,0.0,0.0
15.06,0.0,0.0
15.01,0.04,0.65
15.01,0.0,0.0
15.09,0.0,0.0
14.99,0.0,0.0
15.01,0.01,0.21
15.09,0.06,0.87
14.99,0.01,0.21
15.04,0.0,0.0
15.04,0.0,0.0
14.99,0.0,0.0
15.01,0.0,0.0
15.01,0.04,0.65
15.04,0.03,0.43
15.16,0.0,0.0
15.23,0.0,0.0
15.04,0.01,0.21
15.04,0.0,0.0
15.01,0.0,0.0
15.16,0.03,0.43
15.04,0.0,0.0
15.04,0.0,0.0
15.16,0.04,0.65
15.01,0.04,0.65
15.01,0.01,0.21
15.11,0.03,0.43
15.01,0.0,0.0
14.99,0.0,0.0
15.04,0.01,0.21
15.31,0.0,0.0
15.01,0.0,0.0
15.11,0.0,0.0
15.01,0.01,0.21
15.11,0.0,0.0
15.01,0.0,0.0
15.01,0.0,0.0
15.06,0.0,0.0
15.04,0.0,0.0
15.21,0.0,0.0
15.01,0.0,0.0
15.01,0.0,0.0
15.01,0.0,0.0
15.04,0.0,0.0
14.99,0.0,0.0
15.16,0.0,0.0
15.04,0.0,0.0
15.01,0.0,0.0
14.97,0.0,0.0
15.01,0.0,0.0
15.01,0.0,0.0
