group1,group2,Diff,Lower,Upper,q-value,p-value,reject,H0
3v,6v,0.005579215170920776,-0.12554774662770063,0.13670617696954218,0.18668887902788872,0.9,False,False
3v,9v,0.0840387417516236,-0.04672652711940409,0.21480401062265128,2.8198399954712388,0.5407715146996628,False,False
6v,9v,0.08961795692254437,-0.03540025638302646,0.2146361702281152,3.1452783581899872,0.39220350460112696,False,False
12v,24.5v,0.10861250562914299,-0.015932681035325538,0.2331576922936115,3.8263987028921935,0.14559774608299414,False,False
15v,18v,0.007366666666665855,-0.11702260045124221,0.13175593378457393,0.25985163018484725,0.9,False,False
15v,24.5v,0.0774183919350862,-0.04709570137290553,0.20193248524307794,2.7281168729751317,0.5801159011506716,False,False
18v,24.5v,0.08478505860175206,-0.039729034706239674,0.2092991519097438,2.9877080002070904,0.46686144704110144,False,False
