0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
-4.112859445596829,-7.651660159727046,-6.007697345704192,-5.046996831233379,-5.7403762147511985,-5.47912264147325,-5.8919568626788426,-5.639283418072938,-3.564121703588758
-3.1584225557804295,-5.618922494189209,-5.35023819594586,-4.537439366950527,-4.9010172127404825,-5.200478318668402,-5.161398045235704,-5.354075001429983,-2.5601830366414937
-3.1584225557804295,-5.183335851573953,-4.528414258747949,-4.537439366950527,-3.2222992087190843,-4.782511834461129,-4.86917451825846,-3.9280329182151594,-2.0861008883608365
-2.2039856659640304,-3.8765759237282014,-4.528414258747949,-3.8580294145734304,-3.2222992087190843,-3.8072567046441343,-4.86917451825846,-3.2150118766077984,-1.9466649623959367
-2.2039856659640304,-3.440989281112952,-2.884766384352125,-3.348471950290609,-2.88655560791481,-3.8072567046441343,-4.86917451825846,-3.2150118766077984,-1.8630034068170045
-2.2039856659640304,-3.440989281112952,-2.884766384352125,-3.348471950290609,-2.88655560791481,-3.5286123818392854,-4.138615700815321,-2.929803459964793,-1.8072290364310466
-2.2039856659640304,-3.440989281112952,-2.884766384352125,-3.008766974102031,-2.88655560791481,-3.5286123818392854,-3.700280410349428,-2.5019908350003868,-1.8072290364310466
-2.2039856659640304,-3.1505981860361176,-2.556036809472952,-3.008766974102031,-2.88655560791481,-2.832001574827139,-3.700280410349428,-2.5019908350003868,-1.7235674808521046
-2.2039856659640304,-3.1505981860361176,-2.556036809472952,-3.008766974102031,-2.88655560791481,-2.4140350906198664,-3.700280410349428,-2.216782418357432,-1.7235674808521046
-2.2039856659640304,-3.1505981860361176,-2.556036809472952,-3.008766974102031,-2.88655560791481,-2.4140350906198664,-2.6774980659290444,-2.216782418357432,-1.7235674808521046
-1.8222109100374702,-2.715011543420862,-2.556036809472952,-3.008766974102031,-2.382940206708399,-2.4140350906198664,-2.6774980659290444,-2.216782418357432,-1.7235674808521046
-1.8222109100374702,-2.4246204483440277,-2.062942447154199,-3.008766974102031,-2.382940206708399,-2.4140350906198664,-2.6774980659290444,-2.216782418357432,-1.7235674808521046
-1.8222109100374702,-2.4246204483440277,-2.062942447154199,-3.008766974102031,-2.382940206708399,-2.4140350906198664,-2.2391627754632033,-2.216782418357432,-1.7235674808521046
-1.8222109100374702,-2.4246204483440277,-2.062942447154199,-3.008766974102031,-2.382940206708399,-2.4140350906198664,-2.2391627754632033,-2.216782418357432,-1.7235674808521046
-1.8222109100374702,-2.4246204483440277,-2.062942447154199,-2.499209509819209,-2.382940206708399,-2.4140350906198664,-2.2391627754632033,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-2.4246204483440277,-2.062942447154199,-2.499209509819209,-2.382940206708399,-2.135390767814993,-2.2391627754632033,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-1.9890338057287793,-2.062942447154199,-2.499209509819209,-2.382940206708399,-2.135390767814993,-2.2391627754632033,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-1.9890338057287793,-2.062942447154199,-2.499209509819209,-2.0471966059040954,-2.135390767814993,-2.2391627754632033,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-1.9890338057287793,-2.062942447154199,-2.499209509819209,-2.0471966059040954,-2.135390767814993,-1.9469392484859063,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-1.9890338057287793,-2.062942447154199,-2.499209509819209,-2.0471966059040954,-2.135390767814993,-1.9469392484859063,-1.7889697933929747,-1.6677931104661465
-1.8222109100374702,-1.9890338057287793,-1.7342128722750407,-2.159504533630661,-2.0471966059040954,-2.135390767814993,-1.9469392484859063,-1.50376137675002,-1.6677931104661465
