index,voltage,value
414,0.5v,0.5
415,0.5v,0.5
416,0.5v,0.5
417,0.5v,0.5
418,0.5v,0.5
419,0.5v,0.5
420,0.5v,0.5
421,0.5v,0.5
422,0.5v,0.5
423,0.5v,0.5
424,0.5v,0.5
425,0.5v,0.5
426,0.5v,0.5
427,0.5v,0.5
428,0.5v,0.5
429,0.5v,0.5
430,0.5v,0.5
431,0.5v,0.5
432,0.5v,0.5
433,0.5v,0.5
434,0.5v,0.5
435,0.5v,0.5
436,0.5v,0.5
437,0.5v,0.5
438,0.5v,0.5
439,0.5v,0.5
440,0.5v,0.5
441,0.5v,0.5
442,0.5v,0.5
443,0.5v,0.5
444,0.5v,0.5
445,0.5v,0.5
446,0.5v,0.5
447,0.5v,0.5
448,0.5v,0.5
449,0.5v,0.5
450,0.5v,0.5
451,0.5v,0.5
452,0.5v,0.5
453,0.5v,0.5
454,0.5v,0.5
455,0.5v,0.5
456,0.5v,0.5
457,0.5v,0.5
458,0.5v,0.5
459,0.5v,0.5
460,0.5v,0.5
461,0.5v,0.5
462,0.5v,0.5
463,0.5v,0.5
464,0.5v,0.5
465,0.5v,0.5
466,0.5v,0.5
467,0.5v,0.5
468,0.5v,0.5
469,0.5v,0.5
470,0.5v,0.5
471,0.5v,0.5
472,0.5v,0.5
473,0.5v,0.5
474,0.5v,0.5
475,0.5v,0.5
476,0.5v,0.5
477,0.5v,0.5
478,0.5v,0.5
479,0.5v,0.5
480,0.5v,0.5
481,0.5v,0.5
482,0.5v,0.5
483,0.5v,0.5
484,0.5v,0.5
485,0.5v,0.5
486,0.5v,0.5
487,0.5v,0.5
488,0.5v,0.5
489,0.5v,0.5
490,0.5v,0.5
491,0.5v,0.5
492,0.5v,0.5
493,0.5v,0.5
494,0.5v,0.5
495,0.5v,0.5
496,0.5v,0.5
497,0.5v,0.5
498,0.5v,0.5
499,0.5v,0.5
500,0.5v,0.5
501,0.5v,0.5
502,0.5v,0.5
503,0.5v,0.5
504,0.5v,0.5
505,0.5v,0.5
506,0.5v,0.5
507,0.5v,0.5
508,0.5v,0.5
509,0.5v,0.5
510,0.5v,0.5
511,0.5v,0.5
512,0.5v,0.5
513,0.5v,0.5
514,0.5v,0.5
515,0.5v,0.5
516,0.5v,0.5
517,0.5v,0.5
518,0.5v,0.5
519,0.5v,0.5
520,0.5v,0.5
521,0.5v,0.5
522,0.5v,0.5
523,0.5v,0.5
524,0.5v,0.5
525,0.5v,0.5
526,0.5v,0.5
527,0.5v,0.5
528,0.5v,0.5
529,0.5v,0.5
530,0.5v,0.5
531,0.5v,0.5
532,0.5v,0.5
533,0.5v,0.5
534,0.5v,0.5
535,0.5v,0.5
536,0.5v,0.5
537,0.5v,0.5
538,0.5v,0.5
539,0.5v,0.5
540,0.5v,0.5
