group1,group2,Diff,Lower,Upper,q-value,p-value,H0
0.5v,3v,0.5547905909351704,0.5250135446218048,0.5845676372485359,81.74969316723494,0.001,False
0.5v,6v,0.01831129196337701,-0.008445705850044921,0.04506828977679894,3.0027575308006784,0.459844638217055,True
0.5v,9v,0.01512096774193527,-0.011594162533879807,0.041836098017750345,2.4834816262667316,0.6850479383718692,True
0.5v,12v,0.0023403543965227905,-0.02435181491503168,0.029032523708077258,0.3847126055834243,0.9,True
0.5v,15v,0.012048192771084116,-0.01464855186585174,0.03874493740801997,1.9801690171125108,0.9,True
0.5v,18v,0.09827777777778073,0.07159928421353862,0.12495627134202283,16.163398694574962,0.001,False
0.5v,21v,0.10595238095238221,0.0792738873881401,0.1326308745166243,17.425613548620838,0.001,False
0.5v,24.5v,0.07110204081632582,0.04442354725208371,0.09778053438056793,11.693901304024463,0.001,False
3v,6v,0.5364792989717934,0.5107061589429918,0.562252439000595,91.3322792732201,0.001,False
3v,9v,0.5396696231932351,0.5139399515938827,0.5653992947925874,92.03062912083485,0.001,False
3v,12v,0.5524502365386476,0.5267444061199772,0.5781560669573179,94.29750161967509,0.001,False
3v,15v,0.5668387837062545,0.5411282024377084,0.5925493649748006,96.73559847418635,0.001,False
3v,18v,0.4565128131573896,0.43082118351242443,0.4822044428023548,77.9650531778245,0.001,False
3v,21v,0.4488382099827881,0.42314658033782293,0.4745298396277533,76.65435427216154,0.001,False
3v,24.5v,0.48368855011884454,0.45799692047387935,0.5093801797638098,82.60623238743396,0.001,False
6v,9v,0.0031903242214417413,-0.018974522844343873,0.025355171287227356,0.631551458984317,0.9,True
6v,12v,0.01597093756685422,-0.006166229423358961,0.0381081045570674,3.1655343573244252,0.3826333963010845,True
6v,15v,0.030359484734461126,0.008216801202295086,0.05250216826662717,6.015930412417551,0.001,False
6v,18v,0.07996648581440371,0.057845810448285226,0.1020871611805222,15.861647330218675,0.001,False
6v,21v,0.0876410889890052,0.06552041362288671,0.10976176435512369,17.383933169281754,0.001,False
6v,24.5v,0.05279074885294881,0.030670073486830315,0.0749114242190673,10.471239695927657,0.001,False
9v,12v,0.01278061334541248,-0.009305930431713207,0.03486715712253817,2.53899939006594,0.6612326889893446,True
9v,15v,0.027169160513019385,0.005077087552974133,0.04926123347306464,5.396080394390007,0.004336209593780893,False
9v,18v,0.08315681003584546,0.061086795710532785,0.10522682436115814,16.532322430244697,0.001,False
9v,21v,0.09083141321044694,0.06876139888513426,0.11290142753575962,18.058102629749694,0.001,False
9v,24.5v,0.05598107307439055,0.03391105874907788,0.07805108739970322,11.129541280599518,0.001,False
12v,15v,0.014388547167606906,-0.007675754420589386,0.036452848755803194,2.8613133454503314,0.522980241264126,True
12v,18v,0.09593742338125794,0.07389520821983586,0.11797963854268001,19.09727815295572,0.001,False
12v,21v,0.10361202655585942,0.08156981139443734,0.1256542417172815,20.62498263336971,0.001,False
12v,24.5v,0.06876168641980303,0.04671947125838095,0.09080390158122512,13.687683132855868,0.001,False
15v,18v,0.11032597054886484,0.08827821508769604,0.13237372601003364,21.955939936375735,0.001,False
15v,21v,0.11800057372346633,0.09595281826229753,0.14004832918463514,23.483260525524205,0.001,False
15v,24.5v,0.08315023358740993,0.06110247812624113,0.10519798904857873,16.547704273602413,0.001,False
18v,21v,0.007674603174601488,-0.014351049268017387,0.029700255617220363,1.5288532745207444,0.9,True
18v,24.5v,0.027175736961454908,0.005150084518836032,0.049201389404073786,5.413662895110165,0.004131024771766301,False
21v,24.5v,0.034850340136056396,0.01282468769343752,0.056875992578675275,6.94251616963091,0.001,False
