0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
-5.498896785258066,-5.4152991202277105,-4.764769943492945,-3.8284086804868345,-4.526217543709688,-7.13442428355303,-4.232666976468017,-3.1288386949390508,-3.797126786990539
-5.498896785258066,-5.4152991202277105,-4.764769943492945,-3.8284086804868345,-4.526217543709688,-6.017925960618215,-3.1430371717394885,-3.1288386949390508,-3.797126786990539
-5.498896785258066,-5.4152991202277105,-3.580976168712063,-3.8284086804868345,-4.526217543709688,-4.343178476216143,-3.1430371717394885,-3.1288386949390508,-3.797126786990539
-4.2174013796980425,-3.530186871366809,-3.580976168712063,-3.8284086804868345,-3.3952286522280324,-4.343178476216143,-3.1430371717394885,-3.1288386949390508,-3.797126786990539
-3.363071109324692,-3.530186871366809,-3.580976168712063,-3.8284086804868345,-3.3952286522280324,-3.2266801532814267,-3.1430371717394885,-3.1288386949390508,-2.6707171794585225
-3.363071109324692,-3.530186871366809,-3.580976168712063,-3.8284086804868345,-3.3952286522280324,-3.2266801532814267,-3.1430371717394885,-3.1288386949390508,-2.6707171794585225
-3.363071109324692,-3.530186871366809,-3.580976168712063,-3.8284086804868345,-3.3952286522280324,-3.2266801532814267,-3.1430371717394885,-3.1288386949390508,-2.6707171794585225
-3.363071109324692,-3.530186871366809,-3.580976168712063,-3.8284086804868345,-3.3952286522280324,-3.2266801532814267,-3.1430371717394885,-3.1288386949390508,-2.6707171794585225
-2.5087408389513417,-3.530186871366809,-3.580976168712063,-1.9415635939974558,-3.3952286522280324,-3.2266801532814267,-3.1430371717394885,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-3.530186871366809,-3.580976168712063,-1.9415635939974558,-2.2642397607462756,-3.2266801532814267,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
-2.5087408389513417,-2.2734453721262176,-3.580976168712063,-1.9415635939974558,-2.2642397607462756,-2.110181830346612,-1.5085924646467932,-1.6209646250890135,-2.6707171794585225
