,0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
Mean,0.5,3.0166437177280554,6.001098677517803,9.001360887096775,12.000280842527582,14.998192771084337,18.017689999999998,21.022249999999996,24.517419999999998
Standard Deviation,0.0,0.009464566366162495,0.014879469181971538,0.014989495225772531,0.01715513212789597,0.016785582110422193,0.01835485768947226,0.019895560643854806,0.017755530373910724
Standard Error,0.0,0.00039265637664453074,0.00047458136302370877,0.00047591694933546517,0.0005433084857220078,0.0005318715221272194,0.0005804315642698793,0.0006291528696058727,0.00056147917045859
Uncertainty,0.5 ± 0.0,3.0166437177280554 ± 1.3516570624596583e-06,6.001098677517803 ± 9.655775443005264e-07,9.001360887096775 ± 9.595099784989217e-07,12.000280842527582 ± 1.0898866313380297e-06,14.998192771084337 ± 1.0680151046731315e-06,18.017689999999998 ± 1.1608631285397585e-06,21.022249999999996 ± 1.2583057392117454e-06,24.517419999999998 ± 1.12295834091718e-06
