index,voltage,value
489,0.5v,0.0
490,0.5v,0.0
491,0.5v,0.0
492,0.5v,0.0
493,0.5v,0.0
494,0.5v,0.0
495,0.5v,0.0
496,0.5v,0.0
497,0.5v,0.0
498,0.5v,0.0
499,0.5v,0.0
500,0.5v,0.0
501,0.5v,0.0
502,0.5v,0.0
503,0.5v,0.0
504,0.5v,0.0
505,0.5v,0.0
506,0.5v,0.0
507,0.5v,0.0
508,0.5v,0.0
509,0.5v,0.0
510,0.5v,0.0
511,0.5v,0.0
512,0.5v,0.0
513,0.5v,0.0
514,0.5v,0.0
515,0.5v,0.0
516,0.5v,0.0
517,0.5v,0.0
518,0.5v,0.0
519,0.5v,0.0
520,0.5v,0.0
521,0.5v,0.0
522,0.5v,0.0
523,0.5v,0.0
524,0.5v,0.0
525,0.5v,0.0
526,0.5v,0.0
527,0.5v,0.0
528,0.5v,0.0
529,0.5v,0.0
530,0.5v,0.0
531,0.5v,0.0
532,0.5v,0.0
533,0.5v,0.0
534,0.5v,0.0
535,0.5v,0.0
536,0.5v,0.0
537,0.5v,0.0
538,0.5v,0.0
539,0.5v,0.0
540,0.5v,0.0
541,0.5v,0.0
542,0.5v,0.0
543,0.5v,0.0
544,0.5v,0.0
545,0.5v,0.0
546,0.5v,0.0
547,0.5v,0.0
548,0.5v,0.0
549,0.5v,0.0
550,0.5v,0.0
551,0.5v,0.0
552,0.5v,0.0
553,0.5v,0.0
554,0.5v,0.0
555,0.5v,0.0
556,0.5v,0.0
557,0.5v,0.0
558,0.5v,0.0
559,0.5v,0.0
560,0.5v,0.0
561,0.5v,0.0
562,0.5v,0.0
563,0.5v,0.0
564,0.5v,0.0
565,0.5v,0.0
566,0.5v,0.0
567,0.5v,0.0
568,0.5v,0.0
569,0.5v,0.0
570,0.5v,0.0
571,0.5v,0.0
572,0.5v,0.0
573,0.5v,0.0
574,0.5v,0.0
575,0.5v,0.0
576,0.5v,0.0
577,0.5v,0.0
578,0.5v,0.0
579,0.5v,0.0
580,0.5v,0.0
581,0.5v,0.0
582,0.5v,0.0
583,0.5v,0.0
584,0.5v,0.0
585,0.5v,0.0
586,0.5v,0.0
587,0.5v,0.0
588,0.5v,0.0
589,0.5v,0.0
590,0.5v,0.0
591,0.5v,0.0
592,0.5v,0.0
593,0.5v,0.0
594,0.5v,0.0
595,0.5v,0.0
596,0.5v,0.0
597,0.5v,0.0
598,0.5v,0.0
599,0.5v,0.0
600,0.5v,0.0
601,0.5v,0.0
602,0.5v,0.0
603,0.5v,0.0
604,0.5v,0.0
605,0.5v,0.0
606,0.5v,0.0
607,0.5v,0.0
608,0.5v,0.0
609,0.5v,0.0
610,0.5v,0.0
611,0.5v,0.0
612,0.5v,0.0
613,0.5v,0.0
614,0.5v,0.0
615,0.5v,0.0
616,0.5v,0.0
617,0.5v,6.000000000000005
618,0.5v,6.000000000000005
619,0.5v,6.000000000000005
620,0.5v,6.000000000000005
621,0.5v,6.000000000000005
622,0.5v,6.000000000000005
623,0.5v,6.000000000000005
624,0.5v,6.000000000000005
625,0.5v,6.000000000000005
626,0.5v,6.000000000000005
627,0.5v,6.000000000000005
628,0.5v,6.000000000000005
629,0.5v,6.000000000000005
630,0.5v,6.000000000000005
631,0.5v,6.000000000000005
632,0.5v,6.000000000000005
633,0.5v,6.000000000000005
634,0.5v,6.000000000000005
635,0.5v,6.000000000000005
636,0.5v,6.000000000000005
637,0.5v,6.000000000000005
638,0.5v,6.000000000000005
639,0.5v,6.000000000000005
640,0.5v,6.000000000000005
641,0.5v,6.000000000000005
642,0.5v,6.000000000000005
643,0.5v,6.000000000000005
644,0.5v,6.000000000000005
645,0.5v,6.000000000000005
