,0.5v,3v,6v,9v,12v,15v,18v,21v,24.5v
Mean,0.50873,3.02618,6.0005,9.000869999999999,12.00004,14.9978,18.017689999999998,21.022249999999996,24.517419999999998
Standard Deviation,0.023410150258704784,0.015914171698861994,0.016894834578516357,0.01589955646852729,0.017683639645477416,0.01791314826826571,0.01835485768947226,0.019895560643854806,0.017755530373910724
Standard Error,0.0007402939518428715,0.0005032502964339515,0.0005342615795988254,0.000502788122270095,0.0005592057860136111,0.0005664634859202055,0.0005804315642698793,0.0006291528696058727,0.00056147917045859
Uncertainty,0.50873 ± 1.480587903685743e-06,3.02618 ± 1.006500592867903e-06,6.0005 ± 1.0685231591976508e-06,9.000869999999999 ± 1.00557624454019e-06,12.00004 ± 1.1184115720272222e-06,14.9978 ± 1.132926971840411e-06,18.017689999999998 ± 1.1608631285397585e-06,21.022249999999996 ± 1.2583057392117454e-06,24.517419999999998 ± 1.12295834091718e-06
