voltage
9.01 
9.01 
8.99 
9.01 
8.99 
9.01
8.99
8.97
9.01
9.01
9.01
9.01
8.97
8.99
8.99
9.01
9.01
9.01
8.99
9.01
9.01
9.01
8.99
8.99
8.99
8.99
9.01
8.99
8.99
9.01
9.01
9.04
8.99
8.99
8.99
8.99
9.01
9.01
9.01
8.99
9.01
9.01
8.99
9.01
9.01
9.01
8.99
9.01
8.99
9.01
9.01
9.01
8.99
9.01
9.06
9.01
9.01
8.99
9.01
8.99
9.01
9.01
8.99
8.99
9.01
8.99
9.01
8.99
8.99
9.01
9.01
8.99
9.01
9.01
9.01
8.97
9.01
9.01
8.97
8.99
9.01
8.99
8.99
9.01
9.01
9.01
8.97
8.99
8.99
9.01
8.99
8.99
9.01
9.01
8.99
8.99
8.99
9.01
9.01
8.97
8.99
9.01
8.99
8.99
9.01
9.01
9.01
9.04
8.99
8.99
9.01
9.01
8.99
8.99
9.01
8.99
8.99
8.99
8.99
8.99
8.99
9.06
8.99
8.99
8.99
9.01
8.99
9.01
8.99
8.99
8.99
9.04
8.99
9.01
8.94
9.01
9.01
9.01
8.99
8.99
9.01
9.04
9.01
9.01
8.99
9.01
9.01
9.01
9.01
9.01
8.99
8.99
9.01
8.99
8.99
9.04
9.01
9.01
8.99
8.99
9.01
8.99
9.01
8.99
9.01
8.99
8.97
8.99
9.01
8.99
8.99
8.99
9.01
8.99
8.99
8.99
8.97
9.01
9.01
9.01
9.01
8.99
9.01
8.99
9.01
8.99
8.99
9.01
9.01
8.97
8.99
8.99
9.04
8.99
9.01
8.99
9.01
8.99
9.01
9.01
9.04
8.99
8.99
8.99
8.99
9.01
9.01
9.01
8.99
8.99
8.99
9.06
8.99
9.01
9.01
9.01
8.99
8.99
8.99
9.01
8.99
8.99
9.01
9.01
9.04
9.01
8.99
8.99
8.99
9.01
8.99
8.99
9.01
8.99
9.01
8.94
9.01
9.01
8.99
8.99
8.97
9.01
9.01
9.01
8.99
9.01
9.01
8.99
8.99
9.01
9.01
9.04
9.01
9.01
8.99
8.99
9.01
9.01
9.01
8.99
8.99
8.99
9.01
9.01
8.99
8.99
9.01
8.99
9.01
9.01
8.99
9.01
9.01
9.01
8.99
9.04
9.01
9.01
9.01
9.01
8.99
8.97
8.99
9.01
9.01
9.01
9.01
8.99
8.99
8.99
8.99
8.99
8.99
8.99
8.94
8.99
9.01
9.01
8.99
8.99
8.99
8.99
9.01
9.01
9.01
9.01
8.99
8.99
8.99
8.99
9.04
9.01
8.99
8.99
8.99
9.01
9.01
8.99
8.99
9.01
8.99
8.99
8.99
9.01
9.01
9.01
9.01
8.99
8.99
9.01
8.99
8.94
9.01
9.01
8.99
9.01
9.01
9.01
9.01
9.04
8.99
9.01
9.01
8.99
8.99
9.01
8.99
9.04
8.99
8.94
8.97
8.99
8.99
9.01
8.99
8.99
8.99
8.99
8.99
8.99
9.01
8.97
8.99
9.01
9.01
9.01
9.01
8.99
9.01
8.99
8.99
8.99
9.01
8.99
8.99
8.99
9.04
9.01
8.99
8.99
8.99
9.01
8.99
8.99
8.99
8.99
9.01
8.99
8.99
9.01
9.04
8.99
8.99
8.99
9.01
9.01
8.99
9.01
9.01
9.01
8.99
8.99
8.99
8.99
8.99
8.99
9.01
8.99
9.01
9.04
8.99
8.99
8.99
9.01
9.01
9.01
9.04
9.01
9.01
9.01
9.01
9.01
8.99
8.99
8.99
8.99
9.01
9.01
9.01
8.99
9.01
9.01
8.97
9.01
9.01
9.01
8.99
8.99
8.99
8.99
9.01
9.04
9.01
8.99
8.99
8.99
9.01
9.01
9.04
9.01
9.01
8.99
8.99
8.99
9.01
9.01
9.01
8.99
8.99
9.01
8.99
8.97
8.99
9.01
9.01
9.01
9.01
8.99
9.01
9.01
9.04
9.01
8.99
8.97
8.99
8.97
8.99
9.04
9.01
9.01
9.01
8.99
8.99
8.99
8.99
9.01
8.99
8.99
8.99
9.01
8.99
9.04
8.99
9.01
8.99
8.99
9.01
9.01
9.01
8.99
8.99
8.99
9.04
9.01
8.99
9.01
8.99
9.01
9.04
9.04
8.99
9.01
8.99
8.99
9.01
9.01
9.01
9.01
8.99
9.01
9.04
9.04
8.99
8.99
9.01
8.97
9.01
9.01
9.01
8.99
9.01
8.99
9.01
9.01
8.99
9.01
8.99
9.01
8.99
8.99
9.04
9.01
8.99
9.01
9.01
9.01
9.01
9.01
9.01
9.01
9.01
9.01
8.97
8.97
9.04
9.01
9.01
8.99
8.97
8.99
9.01
8.99
8.99
8.97
8.99
9.01
9.01
9.01
8.99
8.99
8.99
9.01
9.01
9.01
8.99
9.01
9.01
9.01
